artist,album,track_name
Briston Maroney,Freakin' Out On The Interstate (Acoustic Version [Live]),Freakin' Out On the Interstate
Doris Day,Doris Day - Her Greatest Songs,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)"
Françoise Hardy,Comment te dire adieu (Remasterisé en 2016),"La mer, les étoiles et le vent - Remasterisé en 2016"
Cocteau Twins,The Moon and the Melodies,"Sea, Swallow Me"
Opeth,Ghost Reveries,Isolation Years
Evanescence,Fallen,My Immortal
Falling In Reverse,Last Resort (Reimagined),Last Resort - Reimagined
The Strokes,Comedown Machine,"Call It Fate, Call It Karma"
Current Joys,A Different Age,Become the Warm Jets
BONES,Champion,"IBelieveYou,ButMyGlock19Don't"
Sunidhi Nayak,Arale Theko,Arale Theko
Gojira,From Mars to Sirius,World to Come
HYBS,Tip Toe,Tip Toe
Tory Lanez,Alone At Prom,Pluto’s Last Comet
$uicideboy$,Long Term Effects of SUFFERING,New Profile Pic
Animals As Leaders,The Joy of Motion,Physical Education
Weyes Blood,Titanic Rising,Picture Me Better
Chaar Diwaari,MERA SAMAN KAHAN HAI?,MERA SAMAN KAHAN HAI?
Tennessee Ernie Ford,Songs Of The Civil War,Union Dixie
The Almanac Singers,Talking Union and Other Union Songs,Which Side are You On?
Tennessee Ernie Ford,Sixteen Tons,Sixteen Tons
Have A Nice Life,Sea of Worry,Destinos
MGMT,Little Dark Age,Hand It Over
The Smile,A Light for Attracting Attention,We Don't Know What Tomorrow Brings
TOOL,Undertow,Bottom
Circa Survive,On Letting Go,The Difference Between Medicine And Poison Is In The Dose
Turnover,Peripheral Vision,Dizzy On the Comedown
Interpol,Our Love To Admire,The Heinrich Maneuver
TOOL,Ænima,Stinkfist
TOOL,Ænima,Ænema
Russ,"Psycho, Pt. 2","Psycho, Pt. 2"
Solange,When I Get Home,Binz
Meek Mill,HEATHENISM,Whatever I Want
Kendrick Lamar,To Pimp A Butterfly,i
Kendrick Lamar,To Pimp A Butterfly,Wesley's Theory
John Frusciante,To Record Only Water For Ten Days (U.S. Version),Murderers
Run The Jewels,Run The Jewels 3,Call Ticketron
Chet Baker,Chet (Keepnews Collection),Tis Autumn
Deftones,Covers,Sleep Walk
Indalo,Kokhon Kibhabe Ekhane Ke Jane,Sake
東京酒吐座(Tokyo Shoegazer),crystallize (remastered),Just Alright
Opeth,Still Life (Remastered),Benighted (Remastered)
my bloody valentine,loveless,sometimes
The Strokes,The Singles - Volume 01,"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side"
Neil Young,Everybody Knows This Is Nowhere,Cowgirl in the Sand - 2009 Remaster
Interpol,Marauder,If You Really Love Nothing
Måneskin,RUSH!,READ YOUR DIARY
Chevelle,Hats Off to the Bull,Clones
flipturn,Something You Needed,Savannah
Mehdi Hassan,Mehdi Hassan Film Hits,"Rafta Rafta Woh Meri Hasti Ka (From ""Zeenat"")"
Coco & Clair Clair,Smash Hit,Smash Hit
Victony,"Soweto (with Don Toliver, Rema and Tempoe)","Soweto (with Don Toliver, Rema & Tempoe)"
black midi,Cavalcade,Marlene Dietrich
Twenty One Pilots,Clancy,Next Semester
Ace of Base,Happy Nation,Happy Nation
Neutral Milk Hotel,Ferris Wheel on Fire,I Will Bury You in Time - 1994
Thunderclap Newman,Hollywood Dream (Expanded Edition),Something In The Air
The Cure,Seventeen Seconds,A Forest
Sega Bodega,Romeo,Cicada (feat. Arca)
King Krule,6 Feet Beneath the Moon,Border Line
Bring Me The Horizon,POST HUMAN: NeX GEn,liMOusIne (feat. AURORA)
Audioslave,Audioslave,Show Me How to Live
Audioslave,Audioslave,Cochise
Audioslave,Audioslave,I Am the Highway
Trippie Redd,Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe),WITHOUT YOU
